message,timestamp,severity,tags,attributes
unpacking archive,2026-09-13T03:41:58.416742276Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":97955840,""duration_ms"":357}"
using build driver nixpacks-v1.41.0,2026-09-13T03:41:58.489530798Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare nixpacks-v1.41.0,2026-09-13T03:41:58.603305004Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:bfe041c0687f3f023ed35d53036db48af5b9dc3d54f515342a091aa9a740a262"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3"",""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24""]}"
local://prepare-driver,2026-09-13T03:41:58.603310903Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24""}"
local://prepare-context,2026-09-13T03:41:58.603312034Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-13T03:41:58.603313266Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
local://prepare-driver,2026-09-13T03:41:58.603368599Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24"",""started"":""2026-09-13T03:41:58.603171433Z"",""completed"":""2026-09-13T03:41:58.603219556Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-13T03:41:58.603369731Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-13T03:41:58.603213336Z""}"
local://prepare-context,2026-09-13T03:41:58.603565084Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3"",""started"":""2026-09-13T03:41:58.603307077Z"",""completed"":""2026-09-13T03:41:58.603404293Z""}"
local://prepare-driver,2026-09-13T03:41:58.604186807Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24"",""started"":""2026-09-13T03:41:58.603955941Z""}"
local://prepare-context,2026-09-13T03:41:58.604193647Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3"",""started"":""2026-09-13T03:41:58.604007117Z""}"
local://prepare-driver,2026-09-13T03:41:58.850621776Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24"",""started"":""2026-09-13T03:41:58.603955941Z"",""completed"":""2026-09-13T03:41:58.850397169Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-13T03:41:58.919864397Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-13T03:41:58.603213336Z"",""completed"":""2026-09-13T03:41:58.919701954Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-13T03:41:58.920410807Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-13T03:41:58.920113281Z"",""completed"":""2026-09-13T03:41:58.920184858Z"",""cached"":true}"
local://prepare-context,2026-09-13T03:41:59.340325174Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3"",""started"":""2026-09-13T03:41:58.604007117Z"",""completed"":""2026-09-13T03:41:59.339988779Z""}"
[railway] prepare nixpacks-v1.41.0,2026-09-13T03:41:59.408766353Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:bfe041c0687f3f023ed35d53036db48af5b9dc3d54f515342a091aa9a740a262"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3"",""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24""],""started"":""2026-09-13T03:41:59.408294495Z""}"
uploading snapshot,2026-09-13T03:41:59.924292214Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":80782371,""duration_ms"":1798}"
