message,timestamp,severity,tags,attributes
unpacking archive,2026-09-11T11:04:47.739465862Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":95191040,""duration_ms"":348}"
using build driver railpack-v0.39.0,2026-09-11T11:04:47.828367049Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.39.0,2026-09-11T11:04:48.333150573Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:cdb8b5c7e9248a043f27e1d96ab60612833a412bf0f3d3ac9e97e5d40a3889ae"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:06aa272e08423a3e366d7eb472fab0555a3400be6be86b291caca7bfc4f846d4"",""sha256:df303a426b7868984892425ecc549f046981cb1eb99499579084763310981be3""]}"
local://prepare-driver,2026-09-11T11:04:48.333153738Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:df303a426b7868984892425ecc549f046981cb1eb99499579084763310981be3""}"
local://prepare-context,2026-09-11T11:04:48.333154819Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:06aa272e08423a3e366d7eb472fab0555a3400be6be86b291caca7bfc4f846d4""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-11T11:04:48.333158505Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-11T11:04:48.334723052Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-11T11:04:48.33302878Z""}"
local://prepare-driver,2026-09-11T11:04:48.334734610Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:df303a426b7868984892425ecc549f046981cb1eb99499579084763310981be3"",""started"":""2026-09-11T11:04:48.333051384Z"",""completed"":""2026-09-11T11:04:48.333154859Z""}"
local://prepare-context,2026-09-11T11:04:48.334736532Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:06aa272e08423a3e366d7eb472fab0555a3400be6be86b291caca7bfc4f846d4"",""started"":""2026-09-11T11:04:48.333186126Z""}"
local://prepare-context,2026-09-11T11:04:48.334742381Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ec7ab466-a8ec-4e11-b349-fe0c33c4ee78"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:06aa272e08423a3e366d7eb472fab0555a3400be6be86b291caca7bfc4f846d4"",""started"":""2026-09-11T11:04:48.333186126Z"",""completed"":""2026-09-11T11:04:48.333279787Z""}"
